t,v,u,phi
0.0,0.0,0.0,0.0
6.66666666667e-05,-0.0265412392216,-0.00419729784185,0.00101530694813
0.000133333333333,-0.0393410228919,-0.0157007108196,0.00060383969844
0.0002,-0.0490497386845,-0.0267078648289,0.000145362775058
0.000266666666667,-0.0563654016485,-0.0402900069332,5.66558604111e-05
0.000333333333333,-0.0895472170524,-0.050848884546,0.000647145760556
0.0004,-0.115054131604,-0.0668512029372,0.000820545154067
0.000466666666667,-0.128919104076,-0.0924740590128,0.000481822347794
0.000533333333333,-0.160554392922,-0.0960797018361,0.00110874717926
0.0006,-0.183530089317,-0.105049367863,0.0011194679623
0.000666666666667,-0.222913489709,-0.101092826318,0.0016917117064
0.000733333333333,-0.254514661088,-0.12302330208,0.00232520721276
0.0008,-0.269685368428,-0.141591955125,0.00198771331921
0.000866666666667,-0.294334320195,-0.147718991372,0.00188204737547
0.000933333333333,-0.32651668086,-0.143708449164,0.00226500927922
0.001,-0.358721935216,-0.137783868499,0.00243466271408
0.00106666666667,-0.393070407096,-0.139884335944,0.00246565397882
0.00113333333333,-0.416505002465,-0.149119542253,0.00255876834221
0.0012,-0.441111367919,-0.148009298033,0.00250585513222
0.00126666666667,-0.469957548234,-0.146466178134,0.00254038206278
0.00133333333333,-0.49404305094,-0.145810082412,0.00263432172151
0.0014,-0.516553154165,-0.157445013287,0.00259760752566
0.00146666666667,-0.551063176654,-0.156625070902,0.00281683530419
0.00153333333333,-0.576254441161,-0.14873384011,0.00294705527812
0.0016,-0.60282688138,-0.130632695502,0.0026887945956
0.00166666666667,-0.626550792142,-0.136465351522,0.00240867555149
0.00173333333333,-0.647704141301,-0.145422498114,0.0024237429634
0.0018,-0.662920958116,-0.155555949644,0.00224364974641
0.00186666666667,-0.69452567002,-0.146513918299,0.00210543364142
0.00193333333333,-0.719165356769,-0.1381345306,0.00193096194341
0.002,-0.743973659367,-0.129448520259,0.00204958398274
0.00206666666667,-0.74609693027,-0.141407714462,0.00104955710461
0.00213333333333,-0.771399989738,-0.130682601142,0.00153415921224
0.0022,-0.789135893339,-0.128764271926,0.00107058313759
0.00226666666667,-0.816155352629,-0.12237161045,0.000925692867173
0.00233333333333,-0.83790293985,-0.101050081213,0.00141374653524
0.0024,-0.846800250127,-0.10039256861,0.000738202437073
0.00246666666667,-0.861064107437,-0.0943002838651,0.000661418309229
0.00253333333333,-0.871623269085,-0.0908242856673,0.000165570564003
0.0026,-0.889199859832,-0.081925067696,0.000228624501938
0.00266666666667,-0.909592594385,-0.0636449066879,0.00034558563912
0.00273333333333,-0.918073392766,-0.0586024481301,-0.000115469031006
0.0028,-0.931809658432,-0.0596596375561,6.03783566945e-05
0.00286666666667,-0.942522052934,-0.0489835935633,0.000132490762045
0.00293333333333,-0.954710339719,-0.0328594468928,-0.000232563216362
0.003,-0.96635598542,0.000632827929592,-0.00014847108877
0.00306666666667,-0.977645242286,0.0122295925248,-0.000125768515619
0.00313333333333,-0.989767726555,0.0112603103155,0.000388656083362
0.0032,-0.994475217878,0.00282503265807,-5.716496073e-05
0.00326666666667,-0.995679088919,0.0165627033866,-0.000157841370747
0.00333333333333,-1.00319318419,0.0417189229694,-0.000102600994531
0.0034,-1.00679189044,0.0654890164658,-4.97149661237e-05
0.00346666666667,-1.01042959233,0.0717525247931,-7.02497452445e-05
0.00353333333333,-1.01627666595,0.0854528485105,0.000444783058614
0.0036,-1.02052728461,0.106524195086,0.000479869264545
0.00366666666667,-1.01764200456,0.120347949227,0.000222998147898
0.00373333333333,-1.00703165931,0.132744656755,5.15830868687e-05
0.0038,-1.00826202822,0.149955948247,0.000363825100544
0.00386666666667,-1.00366680131,0.154972848519,0.00017792627317
0.00393333333333,-0.99497745771,0.170904034382,7.9716799936e-05
0.004,-0.994424463742,0.197247295642,-1.01524313659e-05
0.00406666666667,-0.979500242159,0.223270534544,-8.45243625159e-05
0.00413333333333,-0.963617684205,0.24092213008,4.6571723917e-05
0.0042,-0.959308078203,0.257893860534,0.000130714677231
0.00426666666667,-0.944049436638,0.267933563623,-0.000291072725869
0.00433333333333,-0.927097333028,0.26898773128,-0.000230153548815
0.0044,-0.917488556977,0.280272957009,0.000366649615894
0.00446666666667,-0.904523898593,0.294821547301,0.000152263876816
0.00453333333333,-0.884513458315,0.308919992141,-0.00023078191251
0.0046,-0.873066878338,0.320335115956,-0.000229226951958
0.00466666666667,-0.851119119702,0.330756421523,-8.63145539214e-05
0.00473333333333,-0.830883258025,0.35346147966,-0.000627130702568
0.0048,-0.821190707366,0.384575286784,0.000175217626985
0.00486666666667,-0.792401822251,0.39430140928,-5.62759414082e-05
0.00493333333333,-0.776302878179,0.410891306933,8.29216612355e-06
0.005,-0.752044402956,0.413479776095,-9.38526718024e-05
0.00506666666667,-0.74207344004,0.43249097975,0.000664831895734
0.00513333333333,-0.718066511612,0.437199310263,0.000370166756004
0.0052,-0.700838241085,0.44492672889,0.000736072552271
0.00526666666667,-0.67098300109,0.449370006084,0.000440697028608
0.00533333333333,-0.649010349641,0.472164728666,0.000804022244975
0.0054,-0.630148902399,0.492020536501,0.00125566494357
0.00546666666667,-0.610085410466,0.493850178023,0.00118620323604
0.00553333333333,-0.581952866682,0.49657476498,0.00104958823045
0.0056,-0.550613522057,0.510166278633,0.000991656059238
0.00566666666667,-0.532674211838,0.52534914408,0.00145819264241
0.00573333333333,-0.503504800293,0.53054913826,0.00118394908477
0.0058,-0.48533526605,0.526784870761,0.00174490991078
0.00586666666667,-0.456095799593,0.514271294306,0.00136291086707
